NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Start Date,Primary Completion Date,Completion Date,Locations
NCT04447937,Immunodeficiency in MS,https://beta.clinicaltrials.gov/study/NCT04447937,UNKNOWN,"Multiple Sclerosis|Hypogammaglobulinemia|Immunodeficiency|Infection, Bacterial",OTHER: No Interventions,Advanced Neurosciences Institute,Novel Pharmaceutics Institute,ALL,"ADULT, OLDER_ADULT",,1500,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2020-06-29,2021-01-30,2021-07-30,"Advanced Neurosciences Institute, Franklin, Tennessee, 37064, United States"
NCT00942214,Biomarkers and Response to Natalizumab for Multiple Sclerosis Treatment,https://beta.clinicaltrials.gov/study/NCT00942214,COMPLETED,Multiple Sclerosis,DRUG: Natalizumab,"University Hospital, Toulouse",,ALL,ADULT,PHASE4,300,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,2009-06,2011-02,2011-03,"service de neurologie, hôpital Purpan, Toulouse, 31059, France"
NCT05562414,Transient and Immediate Motor Effects of Exercise in Progressive Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT05562414,RECRUITING,"Multiple Sclerosis, Chronic Progressive|High-Intensity Interval Training|Motor Symptoms",BEHAVIORAL: HIIT|BEHAVIORAL: MCT,Klinik Valens,,ALL,"ADULT, OLDER_ADULT",NA,30,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2022-10-01,2023-04-01,2023-04-01,"Klinik Valens, Valens rehabilitation clinic, Valens, Sankt Gallen, 7317, Switzerland"
NCT05090033,Characterizing the Use of Ofatumumab in a Real World Setting,https://beta.clinicaltrials.gov/study/NCT05090033,RECRUITING,Relapsing Multiple Sclerosis,OTHER: ofatumumab,Novartis Pharmaceuticals,,ALL,"ADULT, OLDER_ADULT",,3500,INDUSTRY,OBSERVATIONAL,Observational Model: |Time Perspective: p,2022-12-08,2025-06-30,2025-06-30,"Novartis Investigative Site, Concord, New South Wales, 2139, Australia|Novartis Investigative Site, Southport, Queensland, 4222, Australia|Novartis Investigative Site, Box Hill, Victoria, 3128, Australia|Novartis Investigative Site, Melbourne, Victoria, 3004, Australia|Novartis Investigative Site, Nedlands, Western Australia, 6009, Australia|Novartis Investigative Site, Heidelberg, 3084, Australia"
NCT00883337,A Study Comparing the Effectiveness and Safety of Teriflunomide and Interferon Beta-1a in Patients With Relapsing Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT00883337,COMPLETED,Multiple Sclerosis,DRUG: Interferon β-1a|DRUG: Teriflunomide,Sanofi,,ALL,"ADULT, OLDER_ADULT",PHASE3,324,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2009-04,2011-09,2015-05,"Investigational Site Number 056003, Bruxelles, 1070, Belgium|Investigational Site Number 056001, Gent, 9000, Belgium|Investigational Site Number 056002, Hasselt, B-3590, Belgium|Investigational Site Number 124002, London, N6A 5A5, Canada|Investigational Site Number 124003, Lévis, G6V 3Z1, Canada|Investigational Site Number 124004, St. John'S, A1B 3V6, Canada|Investigational Site Number 203004, Jihlava, 58633, Czech Republic|Investigational Site Number 203003, Praha 10, 10034, Czech Republic|Investigational Site Number 203002, Praha 2, 12808, Czech Republic|Investigational Site Number 250003, Bordeaux Cedex, 33076, France|Investigational Site Number 250005, Clermont Ferrand Cedex 1, 63003, France|Investigational Site Number 250004, Lille Cedex, 59037, France|Investigational Site Number 250001, Montpellier Cedex 5, 34000, France|Investigational Site Number 250002, Strasbourg Cedex, 67091, France|Investigational Site Number 276003, Bad Mergentheim, 97980, Germany|Investigational Site Number 276011, Berlin, 10117, Germany|Investigational Site Number 276012, Berlin, 12099, Germany|Investigational Site Number 276001, Bochum, 44791, Germany|Investigational Site Number 276005, Dresden, 01307, Germany|Investigational Site Number 276007, Erbach, 64711, Germany|Investigational Site Number 276006, Essen, 45138, Germany|Investigational Site Number 276004, Halle/Saale, 06120, Germany|Investigational Site Number 276010, Hannover, 30559, Germany|Investigational Site Number 276009, Mainz, 55131, Germany|Investigational Site Number 276002, Münster, 48149, Germany|Investigational Site Number 300001, Athens, 11527, Greece|Investigational Site Number 300002, Thessaloniki, Greece|Investigational Site Number 348001, Budapest, 1083, Hungary|Investigational Site Number 348005, Budapest, 1096, Hungary|Investigational Site Number 348003, Budapest, 1106, Hungary|Investigational Site Number 348002, Esztergom, 2500, Hungary|Investigational Site Number 348007, Kecskemét, 6000, Hungary|Investigational Site Number 348004, Veszprém, 8200, Hungary|Investigational Site Number 380010, Ancona, 60020, Italy|Investigational Site Number 380005, Bari, 70124, Italy|Investigational Site Number 380008, Cagliari, 09126, Italy|Investigational Site Number 380003, Cefalù, 90015, Italy|Investigational Site Number 380007, Genova, 16132, Italy|Investigational Site Number 380001, Milano, 20132, Italy|Investigational Site Number 380004, Pavia, 27100, Italy|Investigational Site Number 380002, Roma, 00185, Italy|Investigational Site Number 380006, Torino, 10126, Italy|Investigational Site Number 616002, Bialystok, 15-276, Poland|Investigational Site Number 616004, Gdansk, 80-803, Poland|Investigational Site Number 616003, Lublin, 20-718, Poland|Investigational Site Number 616001, Warszawa, 02-957, Poland|Investigational Site Number 724007, Barcelona, 08036, Spain|Investigational Site Number 724001, Bilbao, 48013, Spain|Investigational Site Number 724002, Majadahonda, 28222, Spain|Investigational Site Number 724003, Murcia, 30120, Spain|Investigational Site Number 756002, St. Gallen, 9007, Switzerland|Investigational Site Number 788002, Monastir, 5000, Tunisia|Investigational Site Number 826002, London, SW17 0QT, United Kingdom|Investigational Site Number 826003, Plymouth, PL6 5BX, United Kingdom"
NCT01018537,NARCOMS Registry: A Multiple Sclerosis Registry,https://beta.clinicaltrials.gov/study/NCT01018537,RECRUITING,Multiple Sclerosis,,University of Texas Southwestern Medical Center,Consortium of Multiple Sclerosis Centers,ALL,"ADULT, OLDER_ADULT",,50000,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,1996-01,2050-12,2050-12,"UT Southwestern Medical Center, Dallas, Texas, 75390-8806, United States"
NCT03249714,Efficacy and Safety of Ofatumumab Compared to Placebo in Patients With Relapsing Multiple Sclerosis Followed by Extended Treatment With Open-label Ofatumumab,https://beta.clinicaltrials.gov/study/NCT03249714,COMPLETED,Relapsing Multiple Sclerosis,DRUG: Ofatumumab|DRUG: Matching placebo of ofatumumab,Novartis Pharmaceuticals,,ALL,ADULT,PHASE2,64,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2018-03-15,2019-12-26,2020-07-29,"Novartis Investigative Site, Toon-city, Ehime, 791-0295, Japan|Novartis Investigative Site, Fukuoka city, Fukuoka, 812-8582, Japan|Novartis Investigative Site, Sapporo city, Hokkaido, 063-0005, Japan|Novartis Investigative Site, Morioka, Iwate, 020-8505, Japan|Novartis Investigative Site, Sendai city, Miyagi, 980 8574, Japan|Novartis Investigative Site, Sendai city, Miyagi, 983 8512, Japan|Novartis Investigative Site, Kawagoe, Saitama, 350 8550, Japan|Novartis Investigative Site, Kodaira, Tokyo, 187-8551, Japan|Novartis Investigative Site, Shinjuku-ku, Tokyo, 160 8582, Japan|Novartis Investigative Site, Chiba, 260 8677, Japan|Novartis Investigative Site, Niigata, 951 8520, Japan|Novartis Investigative Site, Osaka, 556-0016, Japan|Novartis Investigative Site, Kazan, 420021, Russian Federation|Novartis Investigative Site, Novosibirsk, 630007, Russian Federation"
NCT02833714,Teriflunomide's Therapeutic Mechanisms of Action in Patients With Relapsing Remitting Multiple Sclerosis.,https://beta.clinicaltrials.gov/study/NCT02833714,TERMINATED,RELAPSING REMITTING MULTIPLE SCLEROSIS,,"University of North Carolina, Chapel Hill","Genzyme, a Sanofi Company",ALL,ADULT,,26,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2016-01,2016-12-21,2016-12-21,"University of North Carolina, Chapel Hill, North Carolina, 27599, United States"
NCT04132037,An Observational Study on Intermittent Self Catheterisation Discontinuation Factors in Multiple Sclerosis Patients,https://beta.clinicaltrials.gov/study/NCT04132037,UNKNOWN,Multiple Sclerosis,OTHER: data record,"University Hospital, Toulouse",French Association for Research on Multiple Sclerosis,ALL,"ADULT, OLDER_ADULT",,225,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2019-06-26,2021-12,2022-12,"UHToulouse, Toulouse, 31059, France"
NCT05809414,Amantadine and Transcranial Magnetic Stimulation for Treating Fatigue in Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT05809414,RECRUITING,Multiple Sclerosis|Fatigue,DEVICE: Transcranial Magnetic Stimulation|DRUG: Amantadine Hydrochloride 100 mg (milligrams) Oral Capsule,"Hospital San Carlos, Madrid",,ALL,"ADULT, OLDER_ADULT",PHASE3,144,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2022-11-28,2024-07-15,2025-02-28,"Hospital Puerta del Mar, Cadiz, 11009, Spain|Hospital General Gregorio Marañon, Madrid, 28007, Spain|Hospital Clínico San Carlos, Madrid, 28040, Spain|Hospitalario Universitario Nuestra Señora de la Candelaria, Santa Cruz De Tenerife, 38010, Spain"
